datetime,severity,event_type,message,details
2026-04-26T11:32:01.907643,INFO,CONFIG,Trading parameters,"position_size_pct=0.1, stop_pct=0.01, take_profit_pct=0.05"
2026-04-26T11:33:01.645030,INFO,CYCLE_READONLY,Starting trading cycle in read-only mode,"strategy=simple_reversal_strategy, symbol=BTC/GBP, interval=1h"
2026-04-26T11:33:01.664247,INFO,CONFIG,Trading parameters,"position_size_pct=0.1, stop_pct=0.01, take_profit_pct=0.05"
2026-04-26T11:34:01.280769,INFO,CYCLE_READONLY,Starting trading cycle in read-only mode,"strategy=simple_reversal_strategy, symbol=BTC/GBP, interval=1h"
2026-04-26T11:34:01.302248,INFO,CONFIG,Trading parameters,"position_size_pct=0.1, stop_pct=0.01, take_profit_pct=0.05"
2026-04-26T11:35:01.921689,INFO,CYCLE_READONLY,Starting trading cycle in read-only mode,"strategy=simple_reversal_strategy, symbol=BTC/GBP, interval=1h"
2026-04-26T11:35:01.941268,INFO,CONFIG,Trading parameters,"position_size_pct=0.1, stop_pct=0.01, take_profit_pct=0.05"
2026-04-26T11:36:01.569110,INFO,CYCLE_READONLY,Starting trading cycle in read-only mode,"strategy=simple_reversal_strategy, symbol=BTC/GBP, interval=1h"
2026-04-26T11:36:01.587708,INFO,CONFIG,Trading parameters,"position_size_pct=0.1, stop_pct=0.01, take_profit_pct=0.05"
2026-04-26T11:37:01.209554,INFO,CYCLE_READONLY,Starting trading cycle in read-only mode,"strategy=simple_reversal_strategy, symbol=BTC/GBP, interval=1h"
2026-04-26T11:37:01.226942,INFO,CONFIG,Trading parameters,"position_size_pct=0.1, stop_pct=0.01, take_profit_pct=0.05"
2026-04-26T11:39:01.905609,INFO,CYCLE_READONLY,Starting trading cycle in read-only mode,"strategy=simple_reversal_strategy, symbol=BTC/GBP, interval=1h"
2026-04-26T11:39:01.925781,INFO,CONFIG,Trading parameters,"position_size_pct=0.1, stop_pct=0.01, take_profit_pct=0.05"
2026-04-26T11:40:01.651206,INFO,CYCLE_READONLY,Starting trading cycle in read-only mode,"strategy=simple_reversal_strategy, symbol=BTC/GBP, interval=1h"
2026-04-26T11:40:01.670629,INFO,CONFIG,Trading parameters,"position_size_pct=0.1, stop_pct=0.01, take_profit_pct=0.05"
2026-04-26T11:41:01.276477,INFO,CYCLE_READONLY,Starting trading cycle in read-only mode,"strategy=simple_reversal_strategy, symbol=BTC/GBP, interval=1h"
2026-04-26T11:41:01.296334,INFO,CONFIG,Trading parameters,"position_size_pct=0.1, stop_pct=0.01, take_profit_pct=0.05"
2026-04-26T11:42:01.921065,INFO,CYCLE_READONLY,Starting trading cycle in read-only mode,"strategy=simple_reversal_strategy, symbol=BTC/GBP, interval=1h"
2026-04-26T11:42:01.939959,INFO,CONFIG,Trading parameters,"position_size_pct=0.1, stop_pct=0.01, take_profit_pct=0.05"
2026-04-26T11:43:01.575176,INFO,CYCLE_READONLY,Starting trading cycle in read-only mode,"strategy=simple_reversal_strategy, symbol=BTC/GBP, interval=1h"
2026-04-26T11:43:01.595357,INFO,CONFIG,Trading parameters,"position_size_pct=0.1, stop_pct=0.01, take_profit_pct=0.05"
2026-04-26T11:44:01.211996,INFO,CYCLE_READONLY,Starting trading cycle in read-only mode,"strategy=simple_reversal_strategy, symbol=BTC/GBP, interval=1h"
2026-04-26T11:44:01.233236,INFO,CONFIG,Trading parameters,"position_size_pct=0.1, stop_pct=0.01, take_profit_pct=0.05"
2026-04-26T11:45:01.866256,INFO,CYCLE_READONLY,Starting trading cycle in read-only mode,"strategy=simple_reversal_strategy, symbol=BTC/GBP, interval=1h"
2026-04-26T11:45:01.889362,INFO,CONFIG,Trading parameters,"position_size_pct=0.1, stop_pct=0.01, take_profit_pct=0.05"
2026-04-26T11:46:01.502092,INFO,CYCLE_READONLY,Starting trading cycle in read-only mode,"strategy=simple_reversal_strategy, symbol=BTC/GBP, interval=1h"
2026-04-26T11:46:01.519069,INFO,CONFIG,Trading parameters,"position_size_pct=0.1, stop_pct=0.01, take_profit_pct=0.05"
2026-04-26T11:47:01.129524,INFO,CYCLE_READONLY,Starting trading cycle in read-only mode,"strategy=simple_reversal_strategy, symbol=BTC/GBP, interval=1h"
2026-04-26T11:47:01.150199,INFO,CONFIG,Trading parameters,"position_size_pct=0.1, stop_pct=0.01, take_profit_pct=0.05"
2026-04-26T11:48:01.784974,INFO,CYCLE_READONLY,Starting trading cycle in read-only mode,"strategy=simple_reversal_strategy, symbol=BTC/GBP, interval=1h"
2026-04-26T11:48:01.806178,INFO,CONFIG,Trading parameters,"position_size_pct=0.1, stop_pct=0.01, take_profit_pct=0.05"
2026-04-26T11:49:01.426496,INFO,CYCLE_READONLY,Starting trading cycle in read-only mode,"strategy=simple_reversal_strategy, symbol=BTC/GBP, interval=1h"
2026-04-26T11:49:01.446921,INFO,CONFIG,Trading parameters,"position_size_pct=0.1, stop_pct=0.01, take_profit_pct=0.05"
2026-04-26T11:50:01.069130,INFO,CYCLE_READONLY,Starting trading cycle in read-only mode,"strategy=simple_reversal_strategy, symbol=BTC/GBP, interval=1h"
2026-04-26T11:50:01.089789,INFO,CONFIG,Trading parameters,"position_size_pct=0.1, stop_pct=0.01, take_profit_pct=0.05"
2026-04-26T11:51:01.692901,INFO,CYCLE_READONLY,Starting trading cycle in read-only mode,"strategy=simple_reversal_strategy, symbol=BTC/GBP, interval=1h"
2026-04-26T11:51:01.711546,INFO,CONFIG,Trading parameters,"position_size_pct=0.1, stop_pct=0.01, take_profit_pct=0.05"
2026-04-26T11:52:01.386249,INFO,CYCLE_READONLY,Starting trading cycle in read-only mode,"strategy=simple_reversal_strategy, symbol=BTC/GBP, interval=1h"
2026-04-26T11:52:01.404743,INFO,CONFIG,Trading parameters,"position_size_pct=0.1, stop_pct=0.01, take_profit_pct=0.05"
2026-04-26T11:53:01.068515,INFO,CYCLE_READONLY,Starting trading cycle in read-only mode,"strategy=simple_reversal_strategy, symbol=BTC/GBP, interval=1h"
2026-04-26T11:53:01.090031,INFO,CONFIG,Trading parameters,"position_size_pct=0.1, stop_pct=0.01, take_profit_pct=0.05"
2026-04-26T11:54:01.737965,INFO,CYCLE_READONLY,Starting trading cycle in read-only mode,"strategy=simple_reversal_strategy, symbol=BTC/GBP, interval=1h"
2026-04-26T11:54:01.758194,INFO,CONFIG,Trading parameters,"position_size_pct=0.1, stop_pct=0.01, take_profit_pct=0.05"
2026-04-26T11:56:01.390555,INFO,CYCLE_READONLY,Starting trading cycle in read-only mode,"strategy=simple_reversal_strategy, symbol=BTC/GBP, interval=1h"
2026-04-26T11:56:01.411187,INFO,CONFIG,Trading parameters,"position_size_pct=0.1, stop_pct=0.01, take_profit_pct=0.05"
2026-04-26T11:57:01.154392,INFO,CYCLE_READONLY,Starting trading cycle in read-only mode,"strategy=simple_reversal_strategy, symbol=BTC/GBP, interval=1h"
2026-04-26T11:57:01.171856,INFO,CONFIG,Trading parameters,"position_size_pct=0.1, stop_pct=0.01, take_profit_pct=0.05"
2026-04-26T11:58:01.809435,INFO,CYCLE_READONLY,Starting trading cycle in read-only mode,"strategy=simple_reversal_strategy, symbol=BTC/GBP, interval=1h"
2026-04-26T11:58:01.830439,INFO,CONFIG,Trading parameters,"position_size_pct=0.1, stop_pct=0.01, take_profit_pct=0.05"
